frame_id,steering_angle
1477439402646429224.png,0.0150887977
1477439402696452587.png,0.0009214093
1477439402746441064.png,0.0669235294
1477439402796456793.png,0.0457865961
1477439402846460762.png,-0.0378254524
1477439402896466261.png,-0.0310796368
1477439402946484194.png,-0.0936163754
1477439402996339363.png,0.0367581947
1477439403046435425.png,-0.02058738
1477439403096426081.png,-0.0012109982
1477439403146485303.png,-0.0994297533
1477439403196542223.png,0.0613966081
1477439403247978710.png,-0.0175484302
1477439403296529623.png,0.081834633
1477439403346531130.png,-0.0982409415
1477439403396576495.png,0.0283560783
1477439403446575799.png,-0.0623494682
1477439403496612686.png,-0.0539123736
1477439403546737008.png,0.0536926536
1477439403596614432.png,0.0518930449
1477439403647758970.png,-0.0195016995
1477439403696522041.png,-0.0163635172
1477439403746622417.png,-0.0877649901
1477439403796509561.png,-0.0140950689
1477439403846542023.png,-0.0412105756
1477439403896759600.png,-0.0161102301
1477439403946530665.png,0.0943227177
1477439403996585075.png,-0.0219557018
1477439404046566602.png,-0.0560297838
1477439404096587186.png,0.0230136178
1477439404146605339.png,-0.0550374319
1477439404196584763.png,-0.045187239
1477439404246607917.png,-0.0991660261
1477439404296595812.png,-0.0736250846
1477439404346612863.png,0.0947049353
1477439404396609696.png,0.0675010175
1477439404446643836.png,0.0349240117
1477439404496733732.png,-0.0723009084
1477439404546700344.png,0.0649208313
1477439404596702489.png,0.0277809321
1477439404646640018.png,-0.082442748
1477439404696676649.png,-0.0834575864
1477439404746670677.png,0.0102908511
1477439404796781174.png,-0.0351577485
1477439404846702317.png,0.0215532835
1477439404896606529.png,0.022507776
1477439404946738865.png,0.0066501982
1477439404996742690.png,-0.0102745491
1477439405046714727.png,-0.054068985
1477439405096746491.png,0.0948767473
1477439405146730129.png,-0.015486197
1477439405196773413.png,-0.0326864877
1477439405246735806.png,-0.0618577085
1477439405296861116.png,0.0888443713
1477439405346809644.png,-0.0705172258
1477439405396826273.png,-0.0343709977
1477439405446815361.png,0.0524006264
1477439405497081765.png,-0.0349393764
1477439405546827183.png,-0.0376818488
1477439405597034680.png,-0.0181326393
1477439405646854013.png,0.080501013
1477439405696897975.png,0.0903295333
1477439405746905383.png,-0.0728717501
1477439405796881818.png,-0.0873362453
1477439405846889046.png,0.0620660583
1477439405896899827.png,0.0738389404
1477439405947002604.png,-0.038657139
1477439405996844573.png,-0.006203987
1477439406046852819.png,0.0261597227
1477439406097137054.png,-0.0390907732
1477439406146941417.png,-0.007355008
1477439406196923970.png,0.0704513763
1477439406246943695.png,-0.0775733194
1477439406296951994.png,0.0973189624
1477439406346978810.png,0.0210689261
1477439406397202165.png,-0.0873728422
1477439406446975485.png,-0.0495562799
1477439406496960467.png,0.0043565012
1477439406547037041.png,0.0501347828
1477439406596985406.png,-0.0224858864
1477439406646994568.png,-0.0486030993
1477439406696975819.png,0.0711954774
1477439406747001480.png,-0.0713914914
1477439406797312201.png,0.0968044814
1477439406846968100.png,-0.0218417594
1477439406897159766.png,0.0110896718
1477439406946990890.png,-0.0058059353
1477439406996992232.png,0.0007110894
1477439407047183147.png,-0.0320598279
1477439407097015887.png,0.032305715
1477439407146983755.png,-0.0090317523
1477439407197011041.png,-0.0188181412
1477439407247018091.png,0.0022623029
1477439407297278540.png,-0.0758777727
1477439407347016362.png,-0.0729703109
1477439407397158574.png,0.0837203923
1477439407447078366.png,-0.0612772023
1477439407497168699.png,-0.0030318737
1477439407547126145.png,0.094572222
1477439407597096069.png,0.0213534454
1477439407647130830.png,0.0685817317
1477439407697086094.png,-0.0765948381
1477439407747099545.png,0.052591916
1477439407797089492.png,-0.0593770028
1477439407847122252.png,-0.0953034654
1477439407897123689.png,-0.0156634382
1477439407947040689.png,0.0629469368
1477439407997131670.png,-0.0333695209
1477439408047127008.png,-0.0386516881
1477439408097150371.png,0.047910018
1477439408147154639.png,-0.0897722986
1477439408197251282.png,-0.0713637208
1477439408247153457.png,-0.0950631026
1477439408297157787.png,0.0856258874
1477439408347440907.png,0.0579491158
1477439408397734310.png,0.0340054273
1477439408447243834.png,0.0466344808
1477439408497274955.png,0.0237251723
1477439408547257699.png,-0.0466815567
1477439408597466111.png,-0.0267968494
1477439408647300811.png,0.0345395493
1477439408697296241.png,-0.0588734724
1477439408747302460.png,-0.0844069434
1477439408797293584.png,0.0842962157
1477439408847489682.png,-0.0174611457
1477439408897338956.png,-0.0809106587
1477439408947340796.png,-0.0097645428
1477439408997263414.png,0.0813097684
1477439409047254617.png,0.0982993585
1477439409097246579.png,0.0785460021
1477439409147340441.png,-0.0259643182
1477439409197424709.png,0.0932751489
1477439409247352427.png,0.0226829652
1477439409297419241.png,-0.0902191943
1477439409347383059.png,0.0066970241
1477439409397527768.png,0.0647012473
1477439409447375871.png,0.0917392142
1477439409497448297.png,-0.0715099663
1477439409547406405.png,-0.0688838792
1477439409597430329.png,0.0972824537
1477439409647410167.png,0.0396696522
1477439409697358560.png,0.0063115649
1477439409747449122.png,-0.0744528404
1477439409797484380.png,-0.0039857226
1477439409847387395.png,-0.0518216677
1477439409897659573.png,-0.0785313224
1477439409947401986.png,0.0198165926
1477439409997433369.png,-0.0155005747
1477439410047429174.png,0.0069833451
1477439410097408597.png,-0.0925556947
1477439410149251194.png,-0.0966293149
1477439410197440125.png,-0.0522259459
1477439410247609723.png,0.0789260203
1477439410297457323.png,-0.0114734641
1477439410348949130.png,0.0395088819
1477439410397686875.png,0.04305755
1477439410447462557.png,0.0386877876
1477439410497528491.png,0.0309472519
1477439410547588312.png,0.0537778031
1477439410597508895.png,0.0509824423
1477439410647483559.png,-0.0020525878
1477439410697526521.png,0.0222857997
1477439410747500023.png,0.0471171062
1477439410797566490.png,0.0646425261
1477439410847523375.png,-0.0925772297
1477439410897567696.png,-0.0823286849
1477439410947512347.png,-0.0680317542
1477439410997607662.png,-0.0468094942
1477439411047546576.png,0.0227229268
1477439411097577143.png,-0.0187854351
1477439411147552451.png,0.0240839942
1477439411197632525.png,-0.0607839727
1477439411247582693.png,0.0882300419
1477439411297586047.png,0.0820442363
1477439411347660737.png,0.0085995253
1477439411398218486.png,0.0944224537
1477439411447676347.png,-0.0875677474
1477439411497681462.png,0.0808193874
1477439411547659630.png,0.0592838185
1477439411597714955.png,-0.0571609075
1477439411647673691.png,-0.0672307363
1477439411697773100.png,0.0275723881
1477439411747710428.png,0.0462093382
1477439411797745575.png,-0.0306244735
1477439411847720426.png,-0.0953563321
1477439411897813381.png,-0.0904146673
1477439411947725116.png,0.0336346896
1477439411997762587.png,-0.0744416198
1477439412047732185.png,0.092091483
1477439412097907744.png,-0.0910703111
1477439412147656355.png,0.0303119513
1477439412197770321.png,-0.0668451031
1477439412247800725.png,-0.0354785286
1477439412297795272.png,0.0005054361
1477439412347895025.png,-0.0963208037
1477439412398139308.png,-0.0424464209
1477439412447678059.png,0.0325555785
1477439412497843437.png,0.0977840982
1477439412547843894.png,-0.001896676
1477439412597829874.png,-0.0826594558
1477439412647900963.png,-0.0084455468
1477439412697794739.png,-0.0823114931
1477439412747867944.png,-0.0014060457
1477439412797880137.png,-0.0814648109
1477439412847812084.png,0.0827956197
1477439412897824288.png,-0.0258703441
1477439412947816696.png,0.0198735827
1477439412997891756.png,0.0099960595
1477439413047834473.png,0.0103631349
1477439413097808391.png,0.0514842222
1477439413148050913.png,-0.0553645988
1477439413197985035.png,0.0546321009
1477439413248036793.png,0.0853647376
1477439413298101691.png,0.0057716911
1477439413347795334.png,-0.0283018623
1477439413398445418.png,-0.0395425336
1477439413447894309.png,0.0425896015
1477439413497993089.png,0.0006799347
1477439413547962280.png,-0.0335029599
1477439413597900135.png,-0.0325086307
1477439413647986357.png,-0.0288941436
1477439413698129417.png,-0.0593437417
1477439413748045391.png,0.0508113661
1477439413797976520.png,-0.0619416656
1477439413848280345.png,0.0034159848
1477439413897961596.png,0.0012232855
1477439413948078278.png,-0.0784975444
1477439413998012092.png,-0.0565724666
1477439414048009504.png,-0.0668920358
1477439414097993940.png,0.091767643
1477439414148068969.png,0.0402054213
1477439414198083033.png,-0.0385871942
1477439414247997815.png,0.0017913729
1477439414298024870.png,0.0751341177
1477439414348140167.png,-0.0765772209
1477439414398397066.png,-0.0416203345
1477439414448162533.png,-0.0853675809
1477439414498105906.png,0.0364922069
1477439414548143426.png,0.0970067357
1477439414598121394.png,-0.0505364335
1477439414648130248.png,-0.0012747997
1477439414698121848.png,0.0878930996
1477439414748199050.png,-0.0898324597
1477439414798128220.png,0.0109475329
1477439414848166822.png,-0.0342056147
1477439414898162917.png,0.0529731748
1477439414948271385.png,-0.0742329431
1477439414998236095.png,-0.051004297
1477439415048098191.png,-0.0412353707
1477439415098195103.png,0.0366676942
1477439415148169844.png,-0.0718612386
1477439415198214548.png,0.0585085595
1477439415248190600.png,0.0671596716
1477439415298768991.png,0.0001534554
1477439415348210401.png,-0.0161340064
1477439415398769926.png,-0.0142879147
1477439415448229913.png,0.0599876511
1477439415498325178.png,-0.0157441875
1477439415548267364.png,0.0843722814
1477439415598282671.png,-0.0574786937
1477439415648237488.png,-0.0181488836
1477439415698171652.png,-0.0935247311
1477439415748301916.png,0.0966487754
1477439415798272087.png,-0.0894872264
1477439415848278339.png,0.0998770664
1477439415898151084.png,-0.0432086127
1477439415948437793.png,0.0258557032
1477439415998239246.png,-0.0846034978
1477439416048319766.png,-0.0721111998
1477439416098256863.png,-0.0170840232
1477439416148384421.png,0.0031190506
1477439416198286238.png,-0.0305614802
1477439416248345905.png,0.0681594895
1477439416298505513.png,0.0892393647
1477439416349987912.png,0.0875793938
1477439416398487922.png,-0.0283906051
1477439416448430878.png,0.0792747526
1477439416498397295.png,0.0154378613
1477439416548468747.png,-0.0205683552
1477439416598382006.png,0.0248554385
1477439416650608302.png,-0.0163190575
1477439416698430641.png,0.0806449447
1477439416748537894.png,0.0577114915
1477439416798423776.png,-0.0026973868
1477439416848353286.png,-0.0319946609
1477439416898436472.png,0.0041670471
1477439416948414163.png,-0.0824523288
1477439416998572906.png,-0.055674647
1477439417048394365.png,-0.0924661906
1477439417098470272.png,-0.0904264397
1477439417148391956.png,0.0045071863
1477439417198393123.png,0.0029508746
1477439417248498945.png,0.0398165857
1477439417298430176.png,0.0029108593
1477439417348506633.png,0.057836836
1477439417398627966.png,-0.0151909098
1477439417448552486.png,-0.0759211144
1477439417498536620.png,0.0440754003
1477439417548546307.png,0.0063721892
1477439417598562200.png,0.0788298003
1477439417648540794.png,-0.0501884117
1477439417698566837.png,0.0264908758
1477439417748592235.png,0.0168959585
1477439417798585740.png,-0.0367766748
1477439417848570290.png,-0.0425400207
1477439417898597061.png,-0.0270776951
1477439417948563271.png,-0.0615700565
1477439417998758214.png,-0.0713233513
1477439418048595479.png,0.0696455883
1477439418099138592.png,-0.0514637459
1477439418148684948.png,0.0208892762
1477439418198601800.png,0.0782285683
1477439418248647653.png,-0.0609372909
1477439418298647084.png,0.0245938822
1477439418348666818.png,-0.0077068245
1477439418398655766.png,-0.0571375607
1477439418448521131.png,0.0899513489
1477439418498658795.png,0.0763496501
1477439418548690177.png,-0.0327781733
1477439418598699918.png,-0.0124209711
1477439418648768693.png,-6.89020846039029E-005
1477439418698657546.png,0.0011882652
1477439418748702985.png,-0.0773800741
1477439418798722761.png,-0.0248508524
1477439418848671263.png,-0.0543179478
1477439418898723314.png,-0.0951018096
1477439418948700267.png,-0.0846400327
1477439418998734226.png,-0.0500825257
1477439419048695131.png,-0.0751102687
1477439419098760804.png,0.0629518887
1477439419148718149.png,-0.055217519
1477439419198774139.png,-0.0526722297
1477439419248709611.png,0.0401856882
1477439419298766397.png,0.0126944792
1477439419348727168.png,-0.0970030037
1477439419398835303.png,0.0026005149
1477439419448743309.png,0.0913669433
1477439419498802103.png,0.0803443046
1477439419548762475.png,-0.0483295783
1477439419599131570.png,0.0982353726
1477439419648858153.png,0.0089852539
1477439419698844773.png,-0.0563073341
1477439419748871031.png,-0.0395234843
1477439419798869801.png,0.0702529994
1477439419848907304.png,0.0142210272
1477439419899433088.png,0.0876081357
1477439419948880453.png,-0.091934356
1477439419999076542.png,0.0753898338
1477439420048888867.png,0.0234162121
1477439420098914563.png,-0.0342586899
1477439420149295134.png,0.040318071
1477439420199125388.png,0.0071268908
1477439420249033622.png,0.0404404964
1477439420298901713.png,-0.0439749434
1477439420349173198.png,-0.0281770494
1477439420399091450.png,0.0828016359
1477439420448924038.png,-0.045405717
1477439420498887410.png,-0.030281647
1477439420548945242.png,-0.018349259
1477439420598921030.png,0.0949571482
1477439420648972035.png,-0.0755471579
1477439420698942116.png,0.0610947112
1477439420749057480.png,-0.0712319518
1477439420798938879.png,0.0812002379
1477439420849051797.png,-0.040511771
1477439420898921035.png,-0.0661633929
1477439420949001087.png,-0.0783834111
1477439420999020163.png,-0.0230144047
1477439421049043752.png,0.0125858035
1477439421099271868.png,-0.0975053179
1477439421148990407.png,0.0143157184
1477439421199132230.png,0.0003615433
1477439421248977664.png,0.06515947
1477439421299104849.png,0.0725349272
1477439421349193593.png,-0.0130179711
1477439421399321023.png,-0.0217210081
1477439421449199464.png,0.0436245988
1477439421498927010.png,0.0476428736
1477439421549205947.png,-0.0796154356
1477439421599094048.png,-0.0375707449
1477439421649039312.png,-0.0834891233
1477439421699176107.png,0.0354101703
1477439421749186490.png,-0.0832219475
1477439421799283627.png,-0.0344117652
1477439421849115062.png,0.0340025566
1477439421901083205.png,-0.0078633019
1477439421949177930.png,-0.0859609851
1477439421999178967.png,-0.0740872587
1477439422049151125.png,-0.0550131372
1477439422100463957.png,0.0147914074
1477439422149206306.png,0.0080837889
1477439422199244017.png,-0.0877818336
1477439422249172099.png,-0.0798856209
1477439422299226013.png,-0.0565378022
1477439422349191714.png,-0.0625328694
1477439422399398159.png,-0.0265859385
1477439422449210662.png,-0.0771281811
1477439422499177602.png,-0.0970169587
1477439422549246344.png,0.00130862
1477439422599608256.png,0.0059028866
1477439422649261692.png,-0.0689668545
1477439422699313420.png,-0.0613668524
1477439422749275711.png,-0.0971907615
1477439422799240591.png,0.0912835112
1477439422849292754.png,-0.002872672
1477439422899275062.png,0.0091042828
1477439422949312130.png,0.0256045833
1477439422999288262.png,-0.047083857
1477439423049338910.png,0.0674046575
1477439423099309623.png,-0.0242109629
1477439423149896794.png,-0.0303000771
1477439423199303789.png,0.0684142448
1477439423249319680.png,-0.0144372349
1477439423299355961.png,-0.0169683218
1477439423349308245.png,-0.0441155441
1477439423399431247.png,-0.0176865553
1477439423449314356.png,0.0295762384
1477439423501123023.png,-0.0384526562
1477439423549551742.png,0.0709008529
1477439423599472671.png,-0.0979828105
1477439423649336225.png,0.0803236171
1477439423699383799.png,0.000095608
1477439423749322339.png,0.0588974478
1477439423799421444.png,-0.0415168864
1477439423849437399.png,-0.0064749388
1477439423899404678.png,-0.0130015377
1477439423949485071.png,-0.0799449009
1477439423999433819.png,0.0176175287
1477439424049361516.png,-0.0673676467
1477439424099969474.png,0.0237632748
1477439424149496298.png,-0.0374852926
1477439424199476277.png,-0.070203068
1477439424249474777.png,0.0551904309
1477439424299504898.png,0.0471048896
1477439424349503688.png,-0.0399837916
1477439424399497427.png,-0.017126048
1477439424449507922.png,-0.0004049745
1477439424499624261.png,0.0302625773
1477439424549495872.png,-0.0174490172
1477439424599549440.png,0.0250471711
1477439424649557981.png,-0.0228905194
1477439424699779374.png,0.0365159734
1477439424749558770.png,-0.0191707179
1477439424799533888.png,0.0273086478
1477439424849550090.png,0.016746742
1477439424899478047.png,0.079603841
1477439424949725932.png,-0.0192438264
1477439424999523750.png,0.0928016459
1477439425049594065.png,-0.0041014688
1477439425099725138.png,0.0160409241
1477439425149600332.png,-0.0534836863
1477439425199561142.png,-0.0208871928
1477439425249610902.png,0.0777085152
1477439425299601820.png,0.014040522
1477439425349635599.png,-0.0010015595
1477439425399776650.png,0.0701964017
1477439425449679434.png,-0.066723398
1477439425499661901.png,0.0758477594
1477439425549662081.png,0.0038385222
1477439425599679089.png,-0.0094950824
1477439425649600619.png,-0.0815034865
1477439425699662979.png,-0.0197820988
1477439425749602723.png,0.0849810418
1477439425799684153.png,0.0046990352
1477439425849639236.png,-0.0669636822
1477439425899704281.png,-0.0877186926
1477439425949662233.png,-0.0889465656
1477439425999723859.png,0.074719062
1477439426049686068.png,-0.0106565665
1477439426099730263.png,-0.0531302985
1477439426149890713.png,0.0375293483
1477439426199755595.png,0.0072717994
1477439426249766189.png,0.080516409
1477439426300138235.png,-0.0754195652
1477439426349782682.png,0.0704429465
1477439426399893379.png,-0.006812536
1477439426449782822.png,-0.0146691124
1477439426499909556.png,0.008080901
1477439426549831203.png,-0.0048886805
1477439426599841161.png,-0.0739548062
1477439426649907796.png,0.0719293851
1477439426699843735.png,0.0648777795
1477439426749816861.png,-0.0630729311
1477439426799851071.png,0.0598209045
1477439426850066109.png,-0.0102471366
1477439426900000294.png,-0.025981223
1477439426950009141.png,-0.0398483603
1477439426999812384.png,0.0732888428
1477439427049860404.png,0.078568921
